source,target
-1.00124E+12,608835832
-1.00124E+12,584123424
-1.00124E+12,330058506
-1.00124E+12,351420751
-1.00124E+12,402237081
-1.00124E+12,469046386
-1.00124E+12,525252998
-1.00124E+12,1356374687
-1.00124E+12,612206431
-1.00124E+12,466248722
-1.00124E+12,448951741
-1.00124E+12,443961627
-1.00124E+12,276823935
-1.00124E+12,360104744
-1.00124E+12,459941313
-1.00124E+12,320688106
-1.00124E+12,793435187
-1.00124E+12,889845476
-1.00124E+12,5281911189
-1.00124E+12,5265976521
-1.00124E+12,1888833005
-1.00124E+12,598410753
-1.00124E+12,5336336934
-1.00124E+12,570107003
-1.00124E+12,5353660655
-1.00124E+12,5038403103
-1.00124E+12,961881979
-1.00124E+12,5357612426
-1.00124E+12,384750146
-1.00124E+12,1549569974
-1.00124E+12,576098138
-1.00124E+12,917375377
-1.00124E+12,838142432
-1.00124E+12,588122887
-1.00124E+12,5344883181
-1.00124E+12,338201019
-1.00124E+12,390481533
-1.00124E+12,636065753
-1.00124E+12,416780770
-1.00124E+12,420829650
-1.00124E+12,5102436828
-1.00124E+12,1692562274
-1.00124E+12,1214546739
-1.00124E+12,883809183
-1.00124E+12,2008684434
-1.00124E+12,5190864304
-1.00124E+12,487752599
-1.00124E+12,594835731
-1.00124E+12,875594135
-1.00124E+12,800711760
-1.00124E+12,1972028912
-1.00124E+12,908130565
-1.00124E+12,5368760331
-1.00124E+12,5078943204
-1.00124E+12,317562816
-1.00124E+12,373596284
-1.00124E+12,488657199
-1.00124E+12,371762229
-1.00124E+12,330606988
-1.00124E+12,1209936244
-1.00124E+12,364241871
-1.00124E+12,1511687929
-1.00124E+12,1601803231
-1.00124E+12,420114210
-1.00124E+12,1213607266
-1.00124E+12,5355711725
-1.00124E+12,742430897
-1.00124E+12,804690695
-1.00124E+12,5049761210
-1.00124E+12,1976445141
-1.00124E+12,395789614
-1.00124E+12,1228384635
-1.00124E+12,1203611614
-1.00124E+12,5103262902
-1.00124E+12,5324993579
-1.00124E+12,392479232
-1.00124E+12,5354534719
-1.00124E+12,452279834
-1.00124E+12,533247213
-1.00124E+12,606855544
-1.00124E+12,614570719
-1.00124E+12,675858859
-1.00124E+12,703883112
-1.00124E+12,714229628
-1.00124E+12,793499750
-1.00124E+12,868266312
-1.00124E+12,880438021
-1.00124E+12,933644005
-1.00124E+12,1067411698
-1.00124E+12,1409729102
-1.00124E+12,2096801064
-1.00124E+12,5351983943
-1.00124E+12,5367674419
-1.00124E+12,5393443001
-1.00124E+12,501223429
-1.00124E+12,712183051
-1.00124E+12,742948456
-1.00124E+12,1259031325
-1.00124E+12,1779767416
-1.00124E+12,5187085171
-1.00124E+12,5244724748
-1.00124E+12,5277377375
-1.00124E+12,641789566
-1.00124E+12,1883915867
-1.00124E+12,5369786651
-1.00124E+12,875658396
-1.00124E+12,2032124596
-1.00124E+12,1829691721
-1.00124E+12,1873928303
-1.00124E+12,827947876
-1.00124E+12,415703573
-1.00124E+12,1407047369
-1.00124E+12,1973735804
-1.00124E+12,1227177379
-1.00124E+12,5228824192
-1.00124E+12,904204882
-1.00124E+12,611550259
-1.00124E+12,416008123
-1.00124E+12,1180999558
-1.00124E+12,996553155
-1.00124E+12,1412854801
-1.00124E+12,775601588
-1.00124E+12,2005760354
-1.00124E+12,221093761
-1.00124E+12,733397095
-1.00124E+12,859132404
-1.00124E+12,5315653620
-1.00124E+12,5396592139
-1.00124E+12,675587459
-1.00124E+12,1756757480
-1.00124E+12,472938798
-1.00124E+12,1759847981
-1.00124E+12,370560155
-1.00124E+12,599096028
-1.00124E+12,635132839
-1.00124E+12,444239181
-1.00124E+12,878485651
-1.00124E+12,5288659739
-1.00124E+12,5367424122
-1.00124E+12,5334581010
-1.00124E+12,1448867998
-1.00124E+12,1413671390
-1.00124E+12,1804307586
-1.00124E+12,2135987754
-1.00124E+12,1864770066
-1.00124E+12,480387661
-1.00124E+12,261558188
-1.00124E+12,1530621093
-1.00124E+12,579441832
-1.00124E+12,5031802753
-1.00124E+12,774153064
-1.00124E+12,1148074105
-1.00124E+12,425453867
-1.00124E+12,467809675
-1.00124E+12,832751214
-1.00124E+12,727689516
-1.00124E+12,5156933260
-1.00124E+12,382333547
-1.00124E+12,701655163
-1.00124E+12,1476033829
-1.00124E+12,1853330256
-1.00124E+12,384144725
-1.00124E+12,669241712
-1.00124E+12,555670313
-1.00124E+12,1149630279
-1.00124E+12,5067627676
-1.00124E+12,5010013675
-1.00124E+12,1693804231
-1.00124E+12,1996268463
-1.00124E+12,1054634891
-1.00124E+12,1449891470
-1.00124E+12,521987383
-1.00124E+12,2046358688
-1.00124E+12,972861230
-1.00124E+12,370220422
-1.00124E+12,1959124617
-1.00124E+12,5158042454
-1.00124E+12,387843140
-1.00124E+12,982971191
-1.00124E+12,5343462473
-1.00124E+12,5196654833
-1.00124E+12,409381956
-1.00124E+12,1537156308
-1.00124E+12,705308447
-1.00124E+12,5083310261
-1.00124E+12,705303216
-1.00124E+12,5374944640
-1.00124E+12,1427275298
-1.00124E+12,377733950
-1.00124E+12,869690563
-1.00124E+12,1097652482
-1.00124E+12,464847772
-1.00124E+12,418732851
-1.00124E+12,5241004062
-1.00124E+12,433189360
-1.00124E+12,915995833
-1.00124E+12,1729861256
-1.00124E+12,1235653707
-1.00124E+12,776589068
-1.00124E+12,5369092467
-1.00124E+12,361700144
-1.00124E+12,1318815473
-1.00124E+12,5317293701
-1.00124E+12,1020168732
-1.00124E+12,1378525818
-1.00124E+12,931638454
-1.00124E+12,727302833
-1.00124E+12,1342997234
-1.00124E+12,1277981297
-1.00124E+12,5059686929
-1.00124E+12,691369872
-1.00124E+12,1130028941
-1.00124E+12,798472055
-1.00124E+12,423184098
-1.00124E+12,1115819220
-1.00124E+12,952765918
-1.00124E+12,440751503
-1.00124E+12,815286359
-1.00124E+12,937171540
-1.00124E+12,1526081172
-1.00124E+12,1675131025
-1.00124E+12,725320821
-1.00124E+12,647102304
-1.00124E+12,5227363597
-1.00124E+12,1130781675
-1.00124E+12,868608968
-1.00124E+12,1680204468
-1.00124E+12,331424469
-1.00124E+12,593821563
-1.00124E+12,5308982366
-1.00124E+12,757743829
-1.00124E+12,2081531793
-1.00124E+12,719617792
-1.00124E+12,1884321738
-1.00124E+12,376504920
-1.00124E+12,1132196916
-1.00124E+12,427302598
-1.00124E+12,384273090
-1.00124E+12,553784363
-1.00124E+12,1483653757
-1.00124E+12,1618648796
-1.00124E+12,1070864126
-1.00124E+12,401501776
-1.00124E+12,1272150954
-1.00124E+12,411283499
-1.00124E+12,815105438
-1.00124E+12,654403002
-1.00124E+12,1599959365
-1.00124E+12,882943890
-1.00124E+12,938243919
-1.00124E+12,449641500
-1.00124E+12,477501879
-1.00124E+12,5353790778
-1.00124E+12,1474782108
-1.00124E+12,615843409
-1.00124E+12,1421436102
-1.00124E+12,1481776142
-1.00124E+12,926656737
-1.00124E+12,308773393
-1.00124E+12,321199773
-1.00124E+12,358224797
-1.00124E+12,529523196
-1.00124E+12,378456405
-1.00124E+12,479160214
-1.00124E+12,1250740006
-1.00124E+12,621947702
-1.00124E+12,1975059039
-1.00124E+12,348464534
-1.00124E+12,1650152165
-1.00124E+12,1836660956
-1.00124E+12,590349582
-1.00124E+12,635156966
-1.00124E+12,1878727814
-1.00124E+12,388020406
-1.00124E+12,953750281
-1.00124E+12,1068348143
-1.00124E+12,439478678
-1.00124E+12,372800360
-1.00124E+12,739200623
-1.00124E+12,5383945395
-1.00124E+12,1301088440
-1.00124E+12,1793387906
-1.00124E+12,2092770651
-1.00124E+12,5173178530
-1.00124E+12,671977488
-1.00124E+12,1422202911
-1.00124E+12,1965367542
-1.00124E+12,5129960969
-1.00124E+12,602612155
-1.00124E+12,1229773633
-1.00124E+12,616645517
-1.00124E+12,5360557524
-1.00124E+12,1042407667
-1.00124E+12,363550376
-1.00124E+12,500781344
-1.00124E+12,421672087
-1.00124E+12,612831713
-1.00124E+12,5347918945
-1.00124E+12,429174068
-1.00124E+12,5194078890
-1.00124E+12,688946104
-1.00124E+12,291493091
-1.00124E+12,313868137
-1.00124E+12,441299449
-1.00124E+12,2066919258
-1.00124E+12,1979450099
-1.00124E+12,647893348
-1.00124E+12,440765416
-1.00124E+12,418408216
-1.00124E+12,432972175
-1.00124E+12,484799840
-1.00124E+12,268793380
-1.00124E+12,391737106
-1.00124E+12,545506422
-1.00124E+12,1254230256
-1.00124E+12,1942869046
-1.00124E+12,1949550175
-1.00124E+12,716710478
-1.00124E+12,904474709
-1.00124E+12,2043295830
-1.00124E+12,1925861147
-1.00124E+12,1866629820
-1.00124E+12,366613525
-1.00124E+12,1056968164
-1.00124E+12,1800707905
-1.00124E+12,859414575
-1.00124E+12,1452652446
-1.00124E+12,816117521
-1.00124E+12,5136977091
-1.00124E+12,769657042
-1.00124E+12,235838253
-1.00124E+12,909214623
-1.00124E+12,5180467540
-1.00124E+12,873931495
-1.00124E+12,801393354
-1.00124E+12,1866492782
-1.00124E+12,903741286
-1.00124E+12,2056723577
-1.00124E+12,5055148130
-1.00124E+12,1150094199
-1.00124E+12,553622496
-1.00124E+12,5038280441
-1.00124E+12,900493646
-1.00124E+12,391736127
-1.00124E+12,584245849
-1.00124E+12,666178143
-1.00124E+12,573506353
-1.00124E+12,1330573751
-1.00124E+12,335880578
-1.00124E+12,505525443
-1.00124E+12,310122732
-1.00124E+12,893397644
-1.00124E+12,5161473007
-1.00124E+12,573929971
-1.00124E+12,5299309969
-1.00124E+12,895066621
-1.00124E+12,5123275563
-1.00124E+12,1718609467
-1.00124E+12,1218401832
-1.00124E+12,5376130306
-1.00124E+12,470439201
-1.00124E+12,5102128852
-1.00124E+12,838099620
-1.00124E+12,5208216668
-1.00124E+12,991929095
-1.00124E+12,389223672
-1.00124E+12,406454970
-1.00124E+12,569288755
-1.00124E+12,5318930861
-1.00124E+12,539747151
-1.00124E+12,972655162
-1.00124E+12,1338704871
-1.00124E+12,653178712
-1.00124E+12,578267553
-1.00124E+12,1652522220
-1.00124E+12,906342205
-1.00124E+12,761296225
-1.00124E+12,5176460925
-1.00124E+12,379518916
-1.00124E+12,5148044507
-1.00124E+12,316754400
-1.00124E+12,328141464
-1.00124E+12,641001623
-1.00124E+12,1907336677
-1.00124E+12,977391904
-1.00124E+12,534529439
-1.00124E+12,1087575243
-1.00124E+12,1369242688
-1.00124E+12,5065136693
-1.00124E+12,697104192
-1.00124E+12,336103682
-1.00124E+12,5179352119
-1.00124E+12,1577464421
-1.00124E+12,386128630
-1.00124E+12,635107447
-1.00124E+12,386544964
-1.00124E+12,1609582280
-1.00124E+12,366940151
-1.00124E+12,460993838
-1.00124E+12,480362418
-1.00124E+12,1922521195
-1.00124E+12,414470954
-1.00124E+12,2079846357
-1.00124E+12,5390748700
-1.00124E+12,791080562
-1.00124E+12,5210782660
-1.00124E+12,796920829
-1.00124E+12,5217947943
-1.00124E+12,1993520156
-1.00124E+12,1355332104
-1.00124E+12,417150025
-1.00124E+12,842289618
-1.00124E+12,1708083908
-1.00124E+12,626504059
-1.00124E+12,868132728
-1.00124E+12,444711488
-1.00124E+12,1461703453
-1.00124E+12,438696050
-1.00124E+12,562537121
-1.00124E+12,810795647
-1.00124E+12,5251608620
-1.00124E+12,2067928419
-1.00124E+12,489845756
-1.00124E+12,1844956535
-1.00124E+12,363250841
-1.00124E+12,475171404
-1.00124E+12,1613360115
-1.00124E+12,5324768325
-1.00124E+12,1756693351
-1.00124E+12,745479533
-1.00124E+12,453114855
-1.00124E+12,5189105635
-1.00124E+12,462589798
-1.00124E+12,396419833
-1.00124E+12,940173967
-1.00124E+12,360336893
-1.00124E+12,1329082637
-1.00124E+12,359640947
-1.00124E+12,437014647
-1.00124E+12,438332466
-1.00124E+12,970100174
-1.00124E+12,612781520
-1.00124E+12,735088291
-1.00124E+12,422289265
-1.00124E+12,1946953582
-1.00124E+12,354455891
-1.00124E+12,574599080
-1.00124E+12,1882398954
-1.00124E+12,1985202601
-1.00124E+12,1317947422
-1.00124E+12,684229430
-1.00124E+12,346976363
-1.00124E+12,704105251
-1.00124E+12,1605818252
-1.00124E+12,766910738
-1.00124E+12,5239362478
-1.00124E+12,652629036
-1.00124E+12,612989781
-1.00124E+12,5077667206
-1.00124E+12,5220854531
-1.00124E+12,672445598
-1.00124E+12,575062027
-1.00124E+12,626976831
-1.00124E+12,809607649
-1.00124E+12,680063040
-1.00124E+12,5174601349
-1.00124E+12,681635515
-1.00124E+12,5362503035
-1.00124E+12,583893708
-1.00124E+12,5130955319
-1.00124E+12,510427885
-1.00124E+12,1072936908
-1.00124E+12,5283597679
